2016-11-14_07:00;1;-3;0.0;196.8;0700;-4;8;323;0.0;94;6;1030;54;-4
2016-11-14_08:00;1;-3;0.0;196.8;0800;-3;8;119;0.0;93;8;1030;51;-3
2016-11-14_09:00;1;-3;0.0;196.8;0900;-2;8;119;0.0;92;10;1031;49;-2
2016-11-14_10:00;1;-3;0.0;196.8;1000;-1;8;119;0.0;90;10;1031;59;-1
2016-11-14_11:00;1;-3;0.0;196.8;1100;0;9;122;0.0;89;10;1031;69;0
2016-11-14_12:00;1;-3;0.0;196.8;1200;0;9;122;0.0;88;10;1032;79;0
2016-11-14_13:00;1;-3;0.0;196.8;1300;0;9;122;0.0;89;9;1032;85;1
2016-11-14_14:00;1;-3;0.0;196.8;1400;1;8;332;0.0;90;9;1032;91;1
2016-11-14_15:00;1;-3;0.0;196.8;1500;1;8;332;0.0;91;8;1032;96;1
2016-11-14_16:00;1;-3;0.0;196.8;1600;0;6;332;0.0;92;7;1032;91;0
2016-11-14_17:00;1;-3;0.0;196.8;1700;0;5;260;0.1;94;5;1032;85;0
2016-11-14_18:00;1;-3;0.0;196.8;1800;-1;4;260;0.1;96;3;1033;80;-1
2016-11-14_19:00;1;-3;0.0;196.8;1900;-2;3;260;0.1;96;2;1033;69;-2
2016-11-15_00:00;3;-5;0.0;196.8;0000;-5;1;116;0.0;98;3;1034;33;-5
2016-11-14_20:00;1;-3;0.0;196.8;2000;-3;2;260;0.0;97;1;1033;57;-3
2016-11-14_21:00;1;-3;0.0;196.8;2100;-4;1;260;0.0;98;0;1033;46;-4
2016-11-15_01:00;3;-5;0.0;196.8;0100;-5;1;116;0.0;98;5;1034;36;-5
2016-11-14_23:00;1;-3;0.0;196.8;2300;-5;1;116;0.0;98;2;1033;37;-5
2016-11-14_22:00;1;-3;0.0;196.8;2200;-4;1;260;0.0;98;1;1033;41;-4
2016-11-15_05:00;3;-5;0.0;196.8;0500;-6;2;116;0.0;97;6;1034;38;-6
2016-11-15_02:00;3;-5;0.0;196.8;0200;-5;1;143;0.0;98;6;1034;38;-5
2016-11-15_06:00;3;-5;0.0;196.8;0600;-6;2;116;0.0;97;5;1034;36;-6
2016-11-15_03:00;3;-5;0.0;196.8;0300;-6;1;143;0.0;98;7;1034;41;-6
2016-11-15_04:00;3;-5;0.0;196.8;0400;-6;2;143;0.0;97;6;1034;39;-6
2016-11-15_07:00;3;-5;0.0;196.8;0700;-5;2;116;0.0;95;6;1034;34;-5
2016-11-15_09:00;3;-5;0.0;196.8;0900;-3;1;113;0.0;92;10;1034;30;-3
2016-11-15_08:00;3;-5;0.0;196.8;0800;-4;1;113;0.0;93;8;1034;32;-4
2016-11-15_10:00;3;-5;0.0;196.8;1000;-1;2;113;0.0;88;10;1034;28;-1
2016-11-15_11:00;3;-5;0.0;196.8;1100;0;2;113;0.0;85;10;1034;26;0
2016-11-15_12:00;3;-5;0.0;196.8;1200;2;3;113;0.0;82;10;1034;24;2
2016-11-15_14:00;3;-5;0.0;196.8;1400;1;3;260;0.0;85;8;1033;22;1
2016-11-15_13:00;3;-5;0.0;196.8;1300;2;3;113;0.0;83;9;1033;23;2
2016-11-15_17:00;3;-5;0.0;196.8;1700;-1;3;143;0.0;93;3;1033;17;-1
2016-11-15_15:00;3;-5;0.0;196.8;1500;1;3;260;0.0;86;7;1033;21;1
